id,d1,d2,d3,d4,d5
0,0.000000000000000000e+00,-2.100000000000000089e+00,-3.200000000000000178e+00,-4.400000000000000355e+00,-1.100000000000000089e+00
1,0.000000000000000000e+00,-2.600000000000000089e+00,-5.299999999999999822e+00,-4.799999999999999822e+00,-2.899999999999999911e+00
2,0.000000000000000000e+00,-3.100000000000000089e+00,-4.700000000000000178e+00,-6.000000000000000000e+00,-1.600000000000000089e+00
3,0.000000000000000000e+00,-2.700000000000000178e+00,-4.200000000000000178e+00,-3.000000000000000000e+00,-3.299999999999999822e+00
4,0.000000000000000000e+00,-1.899999999999999911e+00,-5.000000000000000000e-01,-3.600000000000000089e+00,-2.100000000000000089e+00
5,0.000000000000000000e+00,-1.399999999999999911e+00,-2.899999999999999911e+00,-3.500000000000000000e+00,-1.100000000000000089e+00
6,0.000000000000000000e+00,-9.000000000000000222e-01,-2.399999999999999911e+00,-4.700000000000000178e+00,-4.799999999999999822e+00
7,0.000000000000000000e+00,-2.899999999999999911e+00,-5.000000000000000000e+00,-5.700000000000000178e+00,-3.500000000000000000e+00
8,0.000000000000000000e+00,-1.500000000000000000e+00,-8.000000000000000444e-01,-4.000000000000000222e-01,-4.799999999999999822e+00
9,0.000000000000000000e+00,-3.299999999999999822e+00,-3.200000000000000178e+00,-4.000000000000000000e+00,-1.800000000000000044e+00
10,0.000000000000000000e+00,-7.500000000000000000e+00,-8.500000000000000000e+00,-5.700000000000000178e+00,-2.100000000000000089e+00
11,0.000000000000000000e+00,-1.899999999999999911e+00,-4.000000000000000222e-01,-3.100000000000000089e+00,-4.000000000000000222e-01
12,0.000000000000000000e+00,-1.300000000000000044e+00,-1.600000000000000089e+00,-2.000000000000000000e+00,-2.500000000000000000e+00
13,0.000000000000000000e+00,-3.100000000000000089e+00,-3.299999999999999822e+00,-6.900000000000000355e+00,-6.299999999999999822e+00
14,0.000000000000000000e+00,-4.400000000000000355e+00,-8.099999999999999645e+00,-5.700000000000000178e+00,-4.900000000000000355e+00
15,0.000000000000000000e+00,-5.200000000000000178e+00,-7.599999999999999645e+00,-1.150000000000000000e+01,-8.000000000000000000e+00
16,0.000000000000000000e+00,-6.599999999999999645e+00,-9.000000000000000000e+00,-8.199999999999999289e+00,-8.000000000000000000e+00
17,0.000000000000000000e+00,-6.599999999999999645e+00,-9.699999999999999289e+00,-6.799999999999999822e+00,-7.900000000000000355e+00
18,0.000000000000000000e+00,-2.500000000000000000e+00,-1.600000000000000089e+00,-2.700000000000000178e+00,-3.799999999999999822e+00
19,0.000000000000000000e+00,-1.399999999999999911e+00,-5.000000000000000000e+00,-6.400000000000000355e+00,-2.799999999999999822e+00
20,0.000000000000000000e+00,-3.100000000000000089e+00,-4.900000000000000355e+00,-4.000000000000000000e+00,-3.000000000000000000e+00
21,0.000000000000000000e+00,-1.399999999999999911e+00,-4.200000000000000178e+00,-4.299999999999999822e+00,-4.200000000000000178e+00
22,0.000000000000000000e+00,-3.299999999999999822e+00,-5.299999999999999822e+00,-5.299999999999999822e+00,-5.900000000000000355e+00
23,0.000000000000000000e+00,-3.500000000000000000e+00,-6.500000000000000000e+00,-6.799999999999999822e+00,-6.200000000000000178e+00
24,0.000000000000000000e+00,-3.799999999999999822e+00,-7.599999999999999645e+00,-5.599999999999999645e+00,-6.700000000000000178e+00
25,0.000000000000000000e+00,-1.199999999999999956e+00,-7.400000000000000355e+00,-5.000000000000000000e+00,-4.000000000000000000e+00
26,0.000000000000000000e+00,-2.700000000000000178e+00,-8.000000000000000444e-01,-2.799999999999999822e+00,-2.600000000000000089e+00
27,0.000000000000000000e+00,-2.000000000000000000e+00,-2.899999999999999911e+00,-1.800000000000000044e+00,-4.200000000000000178e+00
28,0.000000000000000000e+00,-1.800000000000000044e+00,-4.900000000000000355e+00,-2.600000000000000089e+00,-4.099999999999999645e+00
29,0.000000000000000000e+00,-2.799999999999999822e+00,-6.400000000000000355e+00,-6.599999999999999645e+00,-5.500000000000000000e+00
30,0.000000000000000000e+00,-2.700000000000000178e+00,-6.500000000000000000e+00,-4.700000000000000178e+00,-5.299999999999999822e+00
31,0.000000000000000000e+00,-4.299999999999999822e+00,-5.400000000000000355e+00,-7.400000000000000355e+00,-8.000000000000000444e-01
32,0.000000000000000000e+00,-1.800000000000000044e+00,-2.100000000000000089e+00,-1.600000000000000089e+00,-1.300000000000000044e+00
33,0.000000000000000000e+00,-2.100000000000000089e+00,-2.399999999999999911e+00,-4.799999999999999822e+00,-4.200000000000000178e+00
34,0.000000000000000000e+00,-1.500000000000000000e+00,-5.400000000000000355e+00,-4.200000000000000178e+00,-4.000000000000000000e+00
35,0.000000000000000000e+00,-1.500000000000000000e+00,-5.900000000000000355e+00,-4.099999999999999645e+00,-3.399999999999999911e+00
36,0.000000000000000000e+00,-1.699999999999999956e+00,-5.500000000000000000e+00,-4.000000000000000000e+00,-3.100000000000000089e+00
37,0.000000000000000000e+00,-2.999999999999999889e-01,-4.799999999999999822e+00,-3.000000000000000000e+00,-4.000000000000000000e+00
38,0.000000000000000000e+00,-5.000000000000000000e-01,-4.500000000000000000e+00,-3.500000000000000000e+00,-3.100000000000000089e+00
39,0.000000000000000000e+00,-1.399999999999999911e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-3.200000000000000178e+00
40,0.000000000000000000e+00,-1.399999999999999911e+00,-5.099999999999999645e+00,-3.799999999999999822e+00,-2.899999999999999911e+00
41,0.000000000000000000e+00,-1.100000000000000089e+00,-1.100000000000000089e+00,-1.899999999999999911e+00,-3.399999999999999911e+00
42,0.000000000000000000e+00,-1.500000000000000000e+00,-1.100000000000000089e+00,-4.099999999999999645e+00,-2.000000000000000000e+00
43,0.000000000000000000e+00,-1.300000000000000044e+00,-4.200000000000000178e+00,-3.700000000000000178e+00,-4.200000000000000178e+00
44,0.000000000000000000e+00,-2.500000000000000000e+00,-2.600000000000000089e+00,-3.899999999999999911e+00,-1.100000000000000089e+00
45,0.000000000000000000e+00,-3.500000000000000000e+00,-7.299999999999999822e+00,-4.299999999999999822e+00,-4.000000000000000000e+00
46,0.000000000000000000e+00,-3.399999999999999911e+00,-5.000000000000000000e-01,-2.299999999999999822e+00,-3.799999999999999822e+00
47,0.000000000000000000e+00,-2.100000000000000089e+00,-3.000000000000000000e+00,-3.700000000000000178e+00,-2.600000000000000089e+00
48,0.000000000000000000e+00,-2.299999999999999822e+00,-3.600000000000000089e+00,-3.700000000000000178e+00,-3.700000000000000178e+00
49,0.000000000000000000e+00,-3.200000000000000178e+00,-4.700000000000000178e+00,-5.900000000000000355e+00,-5.400000000000000355e+00
50,0.000000000000000000e+00,-2.000000000000000000e+00,-4.799999999999999822e+00,-6.000000000000000000e+00,-4.099999999999999645e+00
51,0.000000000000000000e+00,-2.000000000000000000e+00,-4.200000000000000178e+00,-3.399999999999999911e+00,-3.000000000000000000e+00
52,0.000000000000000000e+00,-2.999999999999999889e-01,-3.899999999999999911e+00,-3.399999999999999911e+00,-3.000000000000000000e+00
53,0.000000000000000000e+00,-4.299999999999999822e+00,-1.199999999999999956e+00,-8.000000000000000444e-01,-4.000000000000000222e-01
54,0.000000000000000000e+00,-3.299999999999999822e+00,-1.199999999999999956e+00,-6.999999999999999556e-01,-2.799999999999999822e+00
55,0.000000000000000000e+00,-5.599999999999999645e+00,-8.800000000000000711e+00,-7.599999999999999645e+00,-9.000000000000000000e+00
56,0.000000000000000000e+00,-2.999999999999999889e-01,-3.399999999999999911e+00,-1.500000000000000000e+00,-2.899999999999999911e+00
57,0.000000000000000000e+00,-3.200000000000000178e+00,-2.299999999999999822e+00,-2.600000000000000089e+00,-1.100000000000000089e+00
58,0.000000000000000000e+00,-2.899999999999999911e+00,-4.599999999999999645e+00,-1.800000000000000044e+00,-9.000000000000000222e-01
59,0.000000000000000000e+00,-4.500000000000000000e+00,-3.000000000000000000e+00,-4.299999999999999822e+00,-1.699999999999999956e+00
60,0.000000000000000000e+00,-3.100000000000000089e+00,-5.299999999999999822e+00,-6.299999999999999822e+00,-6.999999999999999556e-01
61,0.000000000000000000e+00,-5.299999999999999822e+00,-5.500000000000000000e+00,-5.400000000000000355e+00,-2.200000000000000178e+00
62,0.000000000000000000e+00,-5.200000000000000178e+00,-5.500000000000000000e+00,-4.900000000000000355e+00,-2.200000000000000178e+00
63,0.000000000000000000e+00,-4.799999999999999822e+00,-3.600000000000000089e+00,-4.000000000000000000e+00,-2.700000000000000178e+00
64,0.000000000000000000e+00,-5.700000000000000178e+00,-6.000000000000000000e+00,-7.500000000000000000e+00,-4.200000000000000178e+00
65,0.000000000000000000e+00,-6.500000000000000000e+00,-5.000000000000000000e+00,-5.299999999999999822e+00,-2.700000000000000178e+00
66,0.000000000000000000e+00,-5.200000000000000178e+00,-6.500000000000000000e+00,-7.500000000000000000e+00,-4.400000000000000355e+00
67,0.000000000000000000e+00,-6.799999999999999822e+00,-6.900000000000000355e+00,-7.400000000000000355e+00,-4.500000000000000000e+00
68,0.000000000000000000e+00,-6.400000000000000355e+00,-5.200000000000000178e+00,-5.500000000000000000e+00,-4.000000000000000000e+00
69,0.000000000000000000e+00,-8.199999999999999289e+00,-6.400000000000000355e+00,-6.200000000000000178e+00,-3.899999999999999911e+00
70,0.000000000000000000e+00,-7.799999999999999822e+00,-7.400000000000000355e+00,-6.200000000000000178e+00,-4.500000000000000000e+00
71,0.000000000000000000e+00,-5.400000000000000355e+00,-7.400000000000000355e+00,-6.299999999999999822e+00,-4.000000000000000000e+00
72,0.000000000000000000e+00,-5.500000000000000000e+00,-4.400000000000000355e+00,-3.899999999999999911e+00,-2.500000000000000000e+00
73,0.000000000000000000e+00,-5.700000000000000178e+00,-6.400000000000000355e+00,-4.200000000000000178e+00,-2.299999999999999822e+00
74,0.000000000000000000e+00,-4.400000000000000355e+00,-4.799999999999999822e+00,-3.799999999999999822e+00,-2.100000000000000089e+00
75,0.000000000000000000e+00,-4.500000000000000000e+00,-4.799999999999999822e+00,-4.299999999999999822e+00,-2.600000000000000089e+00
76,0.000000000000000000e+00,-4.599999999999999645e+00,-3.600000000000000089e+00,-2.100000000000000089e+00,-2.399999999999999911e+00
77,0.000000000000000000e+00,-2.500000000000000000e+00,-4.000000000000000000e+00,-2.399999999999999911e+00,-2.399999999999999911e+00
78,0.000000000000000000e+00,-1.899999999999999911e+00,-1.899999999999999911e+00,-3.200000000000000178e+00,-2.100000000000000089e+00
79,0.000000000000000000e+00,-4.900000000000000355e+00,-5.299999999999999822e+00,-1.800000000000000044e+00,-2.500000000000000000e+00
80,0.000000000000000000e+00,-2.899999999999999911e+00,-3.899999999999999911e+00,-2.799999999999999822e+00,-2.500000000000000000e+00
81,0.000000000000000000e+00,-4.000000000000000000e+00,-5.400000000000000355e+00,-3.799999999999999822e+00,-1.699999999999999956e+00
82,0.000000000000000000e+00,-3.500000000000000000e+00,-2.000000000000000111e-01,-4.799999999999999822e+00,-1.800000000000000044e+00
83,0.000000000000000000e+00,-5.299999999999999822e+00,-2.600000000000000089e+00,-1.399999999999999911e+00,-2.000000000000000000e+00
84,0.000000000000000000e+00,-1.399999999999999911e+00,-2.100000000000000089e+00,-2.299999999999999822e+00,-2.999999999999999889e-01
85,0.000000000000000000e+00,-2.899999999999999911e+00,-3.100000000000000089e+00,-1.399999999999999911e+00,-6.999999999999999556e-01
86,0.000000000000000000e+00,-4.500000000000000000e+00,-4.000000000000000000e+00,-4.799999999999999822e+00,-3.799999999999999822e+00
87,0.000000000000000000e+00,-2.399999999999999911e+00,-2.500000000000000000e+00,-2.899999999999999911e+00,-4.000000000000000222e-01
88,0.000000000000000000e+00,-2.100000000000000089e+00,-1.399999999999999911e+00,-2.700000000000000178e+00,-2.999999999999999889e-01
89,0.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,-3.899999999999999911e+00,-2.500000000000000000e+00
90,0.000000000000000000e+00,-3.399999999999999911e+00,-2.500000000000000000e+00,-3.100000000000000089e+00,-1.800000000000000044e+00
91,0.000000000000000000e+00,-1.600000000000000089e+00,-1.800000000000000044e+00,-9.000000000000000222e-01,-2.200000000000000178e+00
92,0.000000000000000000e+00,-2.000000000000000000e+00,-1.399999999999999911e+00,-1.000000000000000056e-01,-1.399999999999999911e+00
93,0.000000000000000000e+00,-1.100000000000000089e+00,-1.699999999999999956e+00,-1.199999999999999956e+00,0.000000000000000000e+00
94,0.000000000000000000e+00,-1.300000000000000044e+00,-2.999999999999999889e-01,-1.600000000000000089e+00,-1.100000000000000089e+00
95,0.000000000000000000e+00,-1.199999999999999956e+00,-1.199999999999999956e+00,-2.899999999999999911e+00,-2.999999999999999889e-01
96,0.000000000000000000e+00,-2.399999999999999911e+00,-1.500000000000000000e+00,-2.700000000000000178e+00,-6.999999999999999556e-01
97,0.000000000000000000e+00,-2.000000000000000111e-01,-2.200000000000000178e+00,-1.300000000000000044e+00,-2.200000000000000178e+00
98,0.000000000000000000e+00,-2.100000000000000089e+00,-1.600000000000000089e+00,-1.399999999999999911e+00,-2.299999999999999822e+00
99,0.000000000000000000e+00,-1.000000000000000056e-01,-4.000000000000000222e-01,-2.100000000000000089e+00,-1.899999999999999911e+00
100,0.000000000000000000e+00,-1.399999999999999911e+00,-9.000000000000000222e-01,-1.600000000000000089e+00,-1.000000000000000000e+00
101,0.000000000000000000e+00,-1.399999999999999911e+00,-2.000000000000000000e+00,-2.600000000000000089e+00,-1.300000000000000044e+00
102,0.000000000000000000e+00,-8.000000000000000444e-01,-2.999999999999999889e-01,-9.000000000000000222e-01,-1.699999999999999956e+00
103,0.000000000000000000e+00,-1.199999999999999956e+00,0.000000000000000000e+00,-2.299999999999999822e+00,-2.799999999999999822e+00
104,0.000000000000000000e+00,-2.000000000000000111e-01,-1.500000000000000000e+00,-9.000000000000000222e-01,-5.000000000000000000e-01
105,0.000000000000000000e+00,-1.899999999999999911e+00,-2.799999999999999822e+00,-1.600000000000000089e+00,-9.000000000000000222e-01
106,0.000000000000000000e+00,-8.000000000000000444e-01,-1.199999999999999956e+00,-2.000000000000000111e-01,-5.999999999999999778e-01
107,0.000000000000000000e+00,-4.000000000000000222e-01,-4.500000000000000000e+00,-2.399999999999999911e+00,-3.500000000000000000e+00
108,0.000000000000000000e+00,-4.000000000000000222e-01,-2.999999999999999889e-01,-1.199999999999999956e+00,-1.800000000000000044e+00
109,0.000000000000000000e+00,-1.000000000000000056e-01,-1.500000000000000000e+00,-2.200000000000000178e+00,-3.299999999999999822e+00
110,0.000000000000000000e+00,-5.999999999999999778e-01,-1.000000000000000056e-01,-4.000000000000000222e-01,-1.600000000000000089e+00
111,0.000000000000000000e+00,-8.000000000000000444e-01,-1.100000000000000089e+00,-2.799999999999999822e+00,-1.600000000000000089e+00
112,0.000000000000000000e+00,-1.699999999999999956e+00,-8.000000000000000444e-01,-2.899999999999999911e+00,-1.199999999999999956e+00
113,0.000000000000000000e+00,-3.799999999999999822e+00,-3.600000000000000089e+00,-3.000000000000000000e+00,-2.000000000000000000e+00
114,0.000000000000000000e+00,-2.399999999999999911e+00,-3.399999999999999911e+00,-3.700000000000000178e+00,-1.300000000000000044e+00
115,0.000000000000000000e+00,-1.300000000000000044e+00,-2.899999999999999911e+00,-2.799999999999999822e+00,-2.000000000000000000e+00
116,0.000000000000000000e+00,-9.000000000000000222e-01,-1.000000000000000000e+00,-1.100000000000000089e+00,-1.100000000000000089e+00
117,0.000000000000000000e+00,-1.000000000000000000e+00,-2.200000000000000178e+00,-1.800000000000000044e+00,-1.399999999999999911e+00
118,0.000000000000000000e+00,-2.700000000000000178e+00,-3.000000000000000000e+00,-4.599999999999999645e+00,-1.899999999999999911e+00
119,0.000000000000000000e+00,-1.600000000000000089e+00,-3.299999999999999822e+00,-3.000000000000000000e+00,-2.299999999999999822e+00
120,0.000000000000000000e+00,-1.500000000000000000e+00,-9.000000000000000222e-01,-1.500000000000000000e+00,-1.699999999999999956e+00
121,0.000000000000000000e+00,-4.000000000000000222e-01,-6.999999999999999556e-01,-4.000000000000000222e-01,-5.999999999999999778e-01
122,0.000000000000000000e+00,-6.999999999999999556e-01,-1.899999999999999911e+00,-2.000000000000000000e+00,-8.000000000000000444e-01
123,0.000000000000000000e+00,-5.999999999999999778e-01,-5.000000000000000000e-01,-1.699999999999999956e+00,-2.000000000000000000e+00
124,0.000000000000000000e+00,-1.000000000000000000e+00,-2.100000000000000089e+00,-1.699999999999999956e+00,-9.000000000000000222e-01
125,0.000000000000000000e+00,-4.000000000000000222e-01,-1.000000000000000000e+00,-1.100000000000000089e+00,-2.000000000000000111e-01
126,0.000000000000000000e+00,-2.000000000000000111e-01,-9.000000000000000222e-01,-2.000000000000000000e+00,-1.600000000000000089e+00
127,0.000000000000000000e+00,-8.000000000000000444e-01,-1.399999999999999911e+00,-4.000000000000000222e-01,-1.000000000000000000e+00
128,0.000000000000000000e+00,-2.000000000000000000e+00,-4.000000000000000222e-01,-6.999999999999999556e-01,-9.000000000000000222e-01
129,0.000000000000000000e+00,-5.999999999999999778e-01,-1.199999999999999956e+00,-2.100000000000000089e+00,-5.999999999999999778e-01
130,0.000000000000000000e+00,-1.100000000000000089e+00,-9.000000000000000222e-01,-2.000000000000000000e+00,-4.000000000000000222e-01
131,0.000000000000000000e+00,-2.000000000000000000e+00,-8.000000000000000444e-01,-1.699999999999999956e+00,0.000000000000000000e+00
132,0.000000000000000000e+00,-6.999999999999999556e-01,-5.999999999999999778e-01,-2.000000000000000111e-01,-1.000000000000000000e+00
133,0.000000000000000000e+00,-3.500000000000000000e+00,-2.299999999999999822e+00,-1.699999999999999956e+00,-6.999999999999999556e-01
134,0.000000000000000000e+00,-1.000000000000000000e+00,-2.600000000000000089e+00,-2.500000000000000000e+00,-3.399999999999999911e+00
135,0.000000000000000000e+00,-5.999999999999999778e-01,-1.800000000000000044e+00,-1.500000000000000000e+00,-1.100000000000000089e+00
136,0.000000000000000000e+00,-2.100000000000000089e+00,-2.000000000000000000e+00,-3.100000000000000089e+00,-6.999999999999999556e-01
137,0.000000000000000000e+00,-1.100000000000000089e+00,-1.600000000000000089e+00,-2.899999999999999911e+00,0.000000000000000000e+00
138,0.000000000000000000e+00,-8.000000000000000444e-01,-3.799999999999999822e+00,-2.399999999999999911e+00,-2.799999999999999822e+00
139,0.000000000000000000e+00,-2.000000000000000000e+00,-2.600000000000000089e+00,-3.000000000000000000e+00,-2.500000000000000000e+00
140,0.000000000000000000e+00,-3.600000000000000089e+00,-3.899999999999999911e+00,-5.599999999999999645e+00,-4.200000000000000178e+00
141,0.000000000000000000e+00,-4.200000000000000178e+00,-5.799999999999999822e+00,-5.400000000000000355e+00,-4.500000000000000000e+00
142,0.000000000000000000e+00,-3.700000000000000178e+00,-6.900000000000000355e+00,-5.099999999999999645e+00,-5.900000000000000355e+00
143,0.000000000000000000e+00,-5.500000000000000000e+00,-6.299999999999999822e+00,-6.500000000000000000e+00,-7.700000000000000178e+00
144,0.000000000000000000e+00,-5.500000000000000000e+00,-7.000000000000000000e+00,-6.400000000000000355e+00,-7.299999999999999822e+00
145,0.000000000000000000e+00,-4.700000000000000178e+00,-6.099999999999999645e+00,-7.599999999999999645e+00,-6.200000000000000178e+00
146,0.000000000000000000e+00,-4.299999999999999822e+00,-6.000000000000000000e+00,-5.799999999999999822e+00,-5.099999999999999645e+00
147,0.000000000000000000e+00,-1.399999999999999911e+00,-4.200000000000000178e+00,-3.700000000000000178e+00,-4.700000000000000178e+00
148,0.000000000000000000e+00,-2.399999999999999911e+00,-3.899999999999999911e+00,-2.500000000000000000e+00,-4.400000000000000355e+00
149,0.000000000000000000e+00,-8.000000000000000444e-01,-4.700000000000000178e+00,-2.100000000000000089e+00,-2.399999999999999911e+00
150,0.000000000000000000e+00,-1.500000000000000000e+00,-2.899999999999999911e+00,-4.000000000000000000e+00,-1.800000000000000044e+00
151,0.000000000000000000e+00,-1.199999999999999956e+00,-3.700000000000000178e+00,-3.600000000000000089e+00,-4.299999999999999822e+00
152,0.000000000000000000e+00,-1.500000000000000000e+00,-2.399999999999999911e+00,-2.399999999999999911e+00,-1.000000000000000056e-01
153,0.000000000000000000e+00,-3.200000000000000178e+00,-2.700000000000000178e+00,-1.899999999999999911e+00,-1.500000000000000000e+00
154,0.000000000000000000e+00,-2.100000000000000089e+00,-3.600000000000000089e+00,-3.899999999999999911e+00,-2.799999999999999822e+00
155,0.000000000000000000e+00,-2.399999999999999911e+00,-3.700000000000000178e+00,-3.799999999999999822e+00,-3.000000000000000000e+00
156,0.000000000000000000e+00,-3.200000000000000178e+00,-4.299999999999999822e+00,-4.500000000000000000e+00,-4.700000000000000178e+00
157,0.000000000000000000e+00,-5.299999999999999822e+00,-4.599999999999999645e+00,-6.000000000000000000e+00,-5.200000000000000178e+00
158,0.000000000000000000e+00,-6.700000000000000178e+00,-7.099999999999999645e+00,-5.500000000000000000e+00,-5.000000000000000000e+00
159,0.000000000000000000e+00,-7.000000000000000000e+00,-8.500000000000000000e+00,-8.800000000000000711e+00,-6.400000000000000355e+00
160,0.000000000000000000e+00,-8.699999999999999289e+00,-1.000000000000000000e+01,-9.800000000000000711e+00,-9.000000000000000000e+00
161,0.000000000000000000e+00,-6.799999999999999822e+00,-7.299999999999999822e+00,-8.800000000000000711e+00,-6.099999999999999645e+00
162,0.000000000000000000e+00,-6.400000000000000355e+00,-4.400000000000000355e+00,-6.400000000000000355e+00,-4.900000000000000355e+00
163,0.000000000000000000e+00,-4.400000000000000355e+00,-3.200000000000000178e+00,-4.400000000000000355e+00,-4.599999999999999645e+00
164,0.000000000000000000e+00,-2.299999999999999822e+00,-4.500000000000000000e+00,-4.500000000000000000e+00,-1.800000000000000044e+00
165,0.000000000000000000e+00,-2.899999999999999911e+00,-2.299999999999999822e+00,-4.200000000000000178e+00,-4.200000000000000178e+00
166,0.000000000000000000e+00,-1.699999999999999956e+00,-2.500000000000000000e+00,-2.399999999999999911e+00,-3.799999999999999822e+00
167,0.000000000000000000e+00,-1.800000000000000044e+00,-3.600000000000000089e+00,-2.299999999999999822e+00,-1.100000000000000089e+00
168,0.000000000000000000e+00,-8.000000000000000444e-01,-3.600000000000000089e+00,-2.000000000000000000e+00,-1.000000000000000000e+00
169,0.000000000000000000e+00,-9.000000000000000222e-01,-1.899999999999999911e+00,-2.899999999999999911e+00,-1.500000000000000000e+00
170,0.000000000000000000e+00,-1.399999999999999911e+00,-1.800000000000000044e+00,-2.799999999999999822e+00,-2.200000000000000178e+00
171,0.000000000000000000e+00,-2.700000000000000178e+00,-2.200000000000000178e+00,-3.399999999999999911e+00,-9.000000000000000222e-01
172,0.000000000000000000e+00,-1.300000000000000044e+00,-5.000000000000000000e-01,-6.999999999999999556e-01,-3.100000000000000089e+00
173,0.000000000000000000e+00,-2.899999999999999911e+00,-1.399999999999999911e+00,-2.000000000000000111e-01,-1.000000000000000056e-01
174,0.000000000000000000e+00,-1.899999999999999911e+00,-2.200000000000000178e+00,-3.899999999999999911e+00,-1.300000000000000044e+00
175,0.000000000000000000e+00,-5.999999999999999778e-01,-3.200000000000000178e+00,-4.299999999999999822e+00,-1.399999999999999911e+00
176,0.000000000000000000e+00,-2.700000000000000178e+00,-3.799999999999999822e+00,-3.899999999999999911e+00,-5.200000000000000178e+00
